awardedfaculty,sponsors,agency_types,species,program_areas,links,application_dates
Barr,Panthera,Other,Feline,"<a href=""https://www.panthera.org/cms/sites/default/files/Panthera_SmallCatActionFund2018_2.pdf"">Small Cat Action Fund</a>, <a href=""https://www.panthera.org/cms/sites/default/files/Panthera_SabinSnowLeopardGrantProgram.pdf"">Snow Leopard</a>",https://www.panthera.org/grants-and-fellowships,pending
"Kaur, kidd",PetSmart Charities,Other,Multi,"<a href=""https://petsmartcharities.org/pro/grants/improving-access-to-veterinary-care"">Improve Access</a>",https://petsmartcharities.org/pro/grants,pending
Pending,Punjab Agricultural Research Board,Other,Food Animal,Agriculture and Livestock,http://www.parb.agripunjab.gov.pk/funding_services,pending
Hao,ReproCELL,Corporate,Other,Research,https://www.reprocell.com/,pending
Cole,Revolution Contraceptives LLC,Extramural-Private,Other,Research,https://www.parsemus.org/,pending
Kersey,"SeaWorld Parks & Entertainment, Inc.",Foundation,Exotics,Research,https://swbg-conservationfund.org/,11/30/18
Kersey,Smithsonian Institute,Other,Exotics,Research,https://www.si.edu/osp/,pending
Pending,The Parkinson's & Movement Disorder Foundation ,Foundation,Other,Biomedical Research,http://www.pmdf.org/,11/21/18
Pending,Tobacco-Related Disease Research Program of California,Other,Other,Biomedical Research,http://www.trdrp.org/funding-opportunities/index.html,9/1/19
Rutllant,U.S. Geological Survey,Federal,Other,Research,https://www.usgs.gov/,pending
"Peralta, Eng",Universities Federation for Animal Welfare,Other,Animal Welfare,"<a href=""https://www.ufaw.org.uk/grants-and-awards/ufaw-grants-and-awards"">Research</a>, <a hfref=""https://www.ufaw.org.uk/small-project-and-travel-awards/small-project-and-travel-awards"">Small Project and Travel Awards</a>, <a href=""https://www.ufaw.org.uk/ufaw-young-animal-welfare-scientist-of-the-year-award/ufaw-young-animal-welfare-scientist-of-the-year-award"">UFAW Young Animal Welfare Scientist</a>",https://www.ufaw.org.uk/grants-and-awards/ufaw-grants-and-awards,pending
Oakley,US Poultry and Egg Association,Foundation,Multi,Research,http://www.uspoultry.org/research/,pending
McNamara,USDA - Agricultural Research Service,Federal,Multi,Research,https://www.ars.usda.gov/research/,pending
